,Address,ITM_E,ITM_N,Geo Co-ordinates
205,"Pinewood Healthcare, Ballymacarbry, waterford",616786,615519,POINT (-7.75394077044721 52.29108065837459)
206,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
207,"Clonea Road, Dungarvan, waterford",619338,605000,POINT (-7.717134344941401 52.19644680365045)
208,"Clogheen, Ballymacarbry, waterford",617092,614642,POINT (-7.749499748569659 52.28318835418827)
209,"Parsonstown, Mullingar, westmeath",645806,760255,POINT (-7.308127071505577 53.59015759179083)
210,"Walshtown North, Irishtown,, Mullingar, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
211,"Ballymahon Road, Athlone, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
212,"Moydrum Road, Athlone, westmeath",636917,753182,POINT (-7.443217580542209 53.5272993230716)
213,"Legnaglogh, Monamolin, wexford",709085,646455,POINT (-6.391209186443057 52.55846924593482)
214,"Seascape, Inch, Blackwater, Enniscorthy, wexford",702643,753901,POINT (-6.451972215905756 53.52503583989057)
215,"Rathnageeragh, Gusserane, New Ross, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
216,"Coolroe, Tintern, wexford",678417,613688,POINT (-6.851062015446763 52.26928923493718)
217,"HAYESTOWN LITTLE, Rathaspick, wexford",700285,618362,POINT (-6.529371395600348 52.30773628233903)
218,"ballyhuskard, cooladine, wexford",693539,635742,POINT (-6.623415962308971 52.46509952997985)
219,"Ballyboggan Lower, Artramon, Castlebridge, wexford",703211,626666,POINT (-6.483928494465795 52.38180837449774)
220,"Marshalstown, Enniscorthy, wexford",695006,644366,POINT (-6.59937229726057 52.54233754176385)
221,"Raheenleagh, Ballinvally, wicklow",714192,672477,POINT (-6.306909335497679 52.79120485233091)
222,"Annacurra, Blacklion, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
223,"Boghall Cottages, Bray, wicklow",706700,695550,POINT (-6.410374540773367 53.00002906520766)
224,"Baunogephlure, Grange, Killerig, carlow",679157,606292,POINT (-6.841953495945377 52.20271704374518)
225,"Cornafean , Cavan, cavan",633876,799795,POINT (-7.483974704106457 53.94636732734561)
226,"Derryglen, Carrickaboy, cavan",646769,801358,POINT (-7.287353624346155 53.95940728882475)
227,"Caherycahill, , Liscannor, clare",506836,691056,POINT (-9.386740593798041 52.96217557886033)
228,"Curragh, Feakle, clare",554206,685821,POINT (-8.680984472808598 52.92126353561662)
229,"Ballyveskill, Tiermaclane, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
230,"Slievecallan, Knockalassa, clare",529487,679574,POINT (-9.047161723654614 52.86245231921442)
231,"Rathcallan, Ladysbridge, cork",597007,570693,POINT (-8.043479979299155 51.88839509169795)
232,"Ballyhooly South, Ballyhooly, cork",572848,600723,POINT (-8.396819759635086 52.15767368959092)
233,"Brennybeg, Kealkill, Bantry, cork",505605,556097,POINT (-9.36710974800619 51.74924529390929)
234,"Rahard Road, Ballyhooly, cork",571737,598697,POINT (-8.412887823149608 52.13940721450385)
235,"Cork Road, Fermoy, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
236,"Convent Street, Mitchelstown, cork",583030,612205,POINT (-8.248589673593827 52.26128721217192)
237,"Garryduff Sports Centre, Monfieldstown, Rochestown, cork",572442,568967,POINT (-8.400198224468735 51.87220726704381)
238,"Ballyhesty, Carrignavar, CORK, cork",567472,582074,POINT (-8.473608919433508 51.98975559984284)
239,"BALLYELLIS, Mallow, cork",556573,609429,POINT (-8.635777489354298 52.23488444209101)
240,"Rath-Healy Road, Fermoy, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
241,"Townlots, Bantry, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
242,"Ballybrack, Carrignavar, cork",561800,666214,POINT (-8.565769468999568 52.74564374673727)
243,"Bridgetown, Castletownroche, cork",596343,572524,POINT (-8.053145466303564 51.90485023878249)
244,"Church Road, Ballycotton, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
245,"River Road Apartments, Boulaling, Riverstick, cork",566039,558235,POINT (-8.492127146816452 51.77538521041603)
246,"Ballyhank, , Waterfall, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
247,"Main Street, Crookhaven, cork",475345,526652,POINT (-9.794688404172772 51.47876520700349)
248,"Bellevue Heights, Frankfield, Curraghconway, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
249,"Coolatooder, Killeady Hill, Ballinhassig, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
250,"Raheens East, Ringaskiddy, cork",576644,563202,POINT (-8.338788623374761 51.82057706157464)
251,"St Josephs NS, Fermoy, cork",547502,582101,POINT (-8.764354359242114 51.98847035436266)
252,"Cunlin, Killybegs, donegal",571184,879367,POINT (-8.446623379238899 54.66164517806848)
253,"Hall Demesne, Mountcharles, donegal",587332,876799,POINT (-8.196234660699171 54.63923601926997)
254,"Drumminderry, Buncrana, donegal",600295,902033,POINT (-7.995404660875042 54.86611764226576)
255,"Kill, Donfanaghy, donegal",602261,936085,POINT (-7.964510249968972 55.17204989158888)
